"material","value","passage"
"TiC7-SiC3 composite",498,"Synergistic strengthening of FeCrNiCo high entropy alloys via micro-TiC and nano-SiC particles. In addition, some of the Si elements are dissolved in the matrix. 2 The ultimate tensile strength and yield tensile strength of the TiC7-SiC3 composite are 849.6 MPa and 498.0 MPa, respectively, which are 88.1% and 207.2% higher than that of the matrix."
"TiC7-SiC3 composite",498,"Synergistic strengthening of FeCrNiCo high entropy alloys via micro-TiC and nano-SiC particles. In addition, some of the Si elements are dissolved in the matrix. The ultimate tensile strength and yield tensile strength of the TiC7-SiC3 composite are 849.6 MPa and 498.0 MPa, respectively, which are 88.1% and 207.2% higher than that of the matrix."
"Matrix",162.1,"Synergistic strengthening of FeCrNiCo high entropy alloys via micro-TiC and nano-SiC particles. The ultimate tensile strength and yield tensile strength of the matrix is 451.9 MPa and 162.1 MPa. With the value of x increasing from 0 to 10, the ultimate tensile strength of the composites is 719.1 MPa, 809.3 MPa, 795.7 MPa, 849.6 MPa and 729.9 MPa, respectively, while the yield tensile strength is 392.6 MPa, 482.3 MPa, 475.8 MPa, 498.0 MPa, and 400.8 MPa, respectively."
"FeCrNiCo high entropy alloy",162.1,"Synergistic strengthening of FeCrNiCo high entropy alloys via micro-TiC and nano-SiC particles. It is clear that both SiC and TiC particles increase the strength of the sample. The ultimate tensile strength and yield tensile strength of the matrix is 451.9 MPa and 162.1 MPa."
"Cr18(FeMnNi)",260,"Computational development, synthesis and mechanical properties of face centered cubic Co-free high entropy alloys. Still CrCoNi remains the alloy with the highest intrinsic lattice strength among Cantor sub-systems. For a grain size of 15 µm yield strength of Cr18(FeMnNi) is measured at 260 MPa while the highest yield strength for Cr20Fe30Mn10Ni40 is 192 MPa at 37 µm."
"Cr20Fe30Mn10Ni40",192,"Computational development, synthesis and mechanical properties of face centered cubic Co-free high entropy alloys. Still CrCoNi remains the alloy with the highest intrinsic lattice strength among Cantor sub-systems. For a grain size of 15 µm yield strength of Cr18(FeMnNi) is measured at 260 MPa while the highest yield strength for Cr20Fe30Mn10Ni40 is 192 MPa at 37 µm."
"Cr20Fe30Mn10Ni40",192,"Computational development, synthesis and mechanical properties of face centered cubic Co-free high entropy alloys. Considering the application that motivated the study that is, to remember, the replacement of Stellites matrix, tensile strengths of these (Co-Cr alloys) range from 145 to 270 MPa [29]. Again, with a yield strength of 192 MPa, Cr20Fe30Mn10Ni40 appear to be in the right range of tensile strengths for the considered application."
"Fe36Ni18Mn33Al13Tix HEAs (after adding Ti)",953,"Evolution of phase, microstructure and mechanical properties of as-cast Al0.3CoCrFeNiTix high entropy alloys. Adding Ti in the Fe36Ni18Mn33Al13Tix HEAs causes the formation of two-FCC/B2 phases with lamellar structure. And microstructure refinement and solid solution strengthening cause a sharp increase in yield strength from 270 to 953 MPa [27]."
"CoCrFeNiTix (high)",871,"Evolution of phase, microstructure and mechanical properties of as-cast Al0.3CoCrFeNiTix high entropy alloys. And microstructure refinement and solid solution strengthening cause a sharp increase in yield strength from 270 to 953 MPa [27]. In the CoCrFeNiTix HEAs, adding Ti can promote the formation of TCP phase, and then the yield strength increases from 136 to 871 MPa due to the precipitation phase and solid solution strengthening [29]."
"Al0.3CoCrFeNiTix",167,"Evolution of phase, microstructure and mechanical properties of as-cast Al0.3CoCrFeNiTix high entropy alloys. The volume fractions of these precipitated phases increased with Ti content increasing. The hardness and yield strength increase from 124 to 448 HV and 167–698 MPa with Ti content increasing."
"CoCrFeNiTix (low)",136,"Evolution of phase, microstructure and mechanical properties of as-cast Al0.3CoCrFeNiTix high entropy alloys. And microstructure refinement and solid solution strengthening cause a sharp increase in yield strength from 270 to 953 MPa [27]. In the CoCrFeNiTix HEAs, adding Ti can promote the formation of TCP phase, and then the yield strength increases from 136 to 871 MPa due to the precipitation phase and solid solution strengthening [29]."
"CrFeCoNiNb0.5 EHEA",1700,"Corrosion in Cr-Fe-Co-Ni-Nb hypoeutectic and hypereutectic high entropy alloys. Among them, CrFeCoNiNb0.5 EHEA is remarkably corrosion-resistant and exhibits outstanding mechanical properties, especially high strength. For example, this EHEA displays significantly higher corrosion resistance than typical stainless steels, and shows superb yield strength of ~1.7 GPa [19–22]."
"RhIrPdPtNiCu HEA (predicted)",583,"Predicting mechanical properties of high entropy alloys with face centered cubic structure from first principles calculations. A notable work is that Yin et al. proposed a computational approach based on solid solution strengthening theory and using the DFT computed values of misfit volumes as inputs [18]. This computational approach has been successfully applied to predict the yield strength of RhIrPdPtNiCu HEA to be 583 MPa, in good agreement with experimental value of 527 MPa."
"Fex(CoCrMnNi)100-x",310,"Predicting mechanical properties of high entropy alloys with face centered cubic structure from first principles calculations. In addition, the mechanical properties of HEAs can be tuned by varying their compositions. For instance, it has been reported that the yield strength of Fex(CoCrMnNi)100-x HEAs would reduce from 310 MPa to 160 MPa with an increase of x from 20 to 60 [8], whereas the yield strength of AlxCoCrNi HEAs would increase from 250 MPa to 310 MPa with an increase of the atomic percentage of Al content from 0% to 7% [9]."
"AlxCoCrNi",250,"Predicting mechanical properties of high entropy alloys with face centered cubic structure from first principles calculations. In addition, the mechanical properties of HEAs can be tuned by varying their compositions. For instance, it has been reported that the yield strength of Fex(CoCrMnNi)100-x HEAs would reduce from 310 MPa to 160 MPa with an increase of x from 20 to 60 [8], whereas the yield strength of AlxCoCrNi HEAs would increase from 250 MPa to 310 MPa with an increase of the atomic percentage of Al content from 0% to 7% [9]."
"stainless steel",220,"Predicting mechanical properties of high entropy alloys with face centered cubic structure from first principles calculations. Moreover, it was reported that CrMnFeCoNi HEA possesses high fracture toughness as ~220 MPa m^(0.5) [6]. Consequently, the HEAs have potential applications as high-performance structural materials, with the mechanical properties rivaling those of stainless steel (yield strength of 220 MPa, ultimate tensile strength of 520–670 MPa, 45% elongation [7], and ~100 MPa m^(0.5) fracture toughness [6])."
"FeCoNiCrTi0.2 HEA",860,"Strengthening mechanisms in high entropy alloys: A review. Yang et al. [206] investigated that the L12 strengthened Ni30Co30Fe13Cr15Al6Ti HEA possesses the improved tensile properties due to the refined microstructure and active formation of stacking faults at cryogenic temperatures, which lead to the exceptional tensile strength of 1700 GPa and an effective ductility of 51%. Tong et al. [59] showed that the L12 strengthened FeCoNiCrTi0.2 HEA has an outstanding yield strength of 860 MPa with enhanced ductility of 46% at cryogenic temperature, which is attributed to the hierarchically sub-structured stacking faults prevailed in multiple layers."
"Cantor alloy",832,"Strengthening mechanisms in high entropy alloys: A review. b is the magnitude of Burger vector and λ is the size of spinodal structure. In contrast, the addition of Al in Cantor alloy enhanced the yield strength up to 832 MPa with a significant loss of ductility to 7% [137]."
"Cantor alloy",732,"Strengthening mechanisms in high entropy alloys: A review. Several researchers have reported a high strength and ductility trade-off in HEAs due to the formation of carbide precipitates e.g., M7C3, M23C6 [95,100,109,182]. For instance, the addition of 0.8 at% Nb and C in Cantor alloy can significantly enhance the yield strength up to 732 MPa with high elongation of about 32%, which is attributed to the formation of carbide precipitates [183]."
"TiNbZr-O-C-N alloy",4200,"Strengthening mechanisms in high entropy alloys: A review. However, some researchers suggested new gateways to overcome this challenge. Liu et al. [102] introduced a concept of massive interstitial solid solution (MISS) and obtained around theoretical yield strength of 4.2 GPa, with a large deformability of 65% at room temperature in TiNbZr-O-C-N alloy."
"49.5Fe-30Mn-10Co-10Cr-0.5 C",1300,"Strengthening mechanisms in high entropy alloys: A review. From this perspective, Su et al. [218] manipulated the phase stability of FCC matrix by developing a hierarchical γ FCC → ε HCP bi-modal and tri-modal microstructures in 49.5Fe-30Mn-10Co-10Cr-0.5 C upon homogenization → cold rolling → tempering → annealing. They reported high yield strength of 1.3 GPa in case of bi-modal microstructure, while the ductility was greatly enhanced from 14% to 60% with transformation from bi-modal to tri-modal microstructures due to the multi stage work hardening."
"Boron-doped TWIP-HEA",1100,"Strengthening mechanisms in high entropy alloys: A review. Seol et al. [93] investigated a high degree of short range ordering in B-doped Fe40Mn40Co10Cr10 TWIP-HEA. They revealed that the yield strengths was increased about 32% (1.1 GPa) in boron doped TWIP-HEA as compared to the boron-free HEA, which was due to the sever lattice distortion."
"AlNbTiV",685,"Design of Fe36.29Cr28.9Ni26.15Cu4.17Ti1.67V2.48C0.46 HEA using a new criterion based on VEC: Microstructural study and multiscale mechanical response. Technological development is constantly driving the advancement of new functional materials, such as high entropy alloys (HEA), with an impact on energy, aerospace, and structural applications [1–4]. Stepanov et al. [5] investigated the high entropy alloy AlNbTiV, resulting in a density of 5.59 g/cm^(3) and a compressive yield strength of 685 MPa at 800 °C."
"AlCoCrFeNi (0% C)",1426,"Grain refinement and FCC phase formation in AlCoCrFeNi high entropy alloys by the addition of carbon. The compressive strength (σc ), yield strength (σy ) and fracture strain (εp ) curves of as-cast (AlCoCrFeNi)100– x C x (x = 0–8) HEAs were shown in Fig. 2 . Fig. 2 showed that when the C content was 0–1.5%, the compressive strength (σc ) increased from 2992 MPa to 3332 MPa, the fracture strain (εp ) also increased from 29% to 35%, while the yield strength decreased from 1426 MPa to 1376 MPa."
"AlCoCrFeNi (1.5% C)",1376,"Grain refinement and FCC phase formation in AlCoCrFeNi high entropy alloys by the addition of carbon. The compressive strength (σc ), yield strength (σy ) and fracture strain (εp ) curves of as-cast (AlCoCrFeNi)100– x C x (x = 0–8) HEAs were shown in Fig. 2 . Fig. 2 showed that when the C content was 0–1.5%, the compressive strength (σc ) increased from 2992 MPa to 3332 MPa, the fracture strain (εp ) also increased from 29% to 35%, while the yield strength decreased from 1426 MPa to 1376 MPa."
"Ti 6 (MnFeCoNi) 94",864,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The Hall–Petch effect of Ti-added alloys can be seen in Fig. 6 in which the grain size coefficient, k, is 700 MPa µm^(-1/2). By applying the grain size values reported in Table 5 to the Hall–Petch relation of Ti 6 (MnFeCoNi) 94 , a yield strength of 864 MPa is predicted with average grain size of 1 µm, higher than the Al(CoCrCuFeNi2) with the same grain size [80]."
"MnFeCoNi + 6 at.% Mo",199,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The solid solution strengthening effects of the alloying elements have been evaluated that predictions from a recently developed elasticity-based model qualitatively agree with the experimental results. From experiments, 6 at.%% Al, Ti, and Mo strengthen the base alloy, MnFeCoNi, by increasing the yield stress (and energy barrier) of the base alloy from 138 MPa (1.75 eV) to 163 MPa (1.77 eV), 164 MPa (1.93 eV), and 199 MPa (1.80 eV), respectively."
"MnFeCoNi + 6 at.% Mo",199,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The solid solution strengthening effects of the alloying elements have been evaluated that predictions from a recently developed elasticity-based model qualitatively agree with the experimental results. From experiments, 6 at.%% Al, Ti, and Mo strengthen the base alloy, MnFeCoNi, by increasing the yield stress (and energy barrier) of the base alloy from 138 MPa (1.75 eV) to 163 MPa (1.77 eV), 164 MPa (1.93 eV), and 199 MPa (1.80 eV), respectively."
"MnFeCoNi + 6 at.% Ti",164,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The solid solution strengthening effects of the alloying elements have been evaluated that predictions from a recently developed elasticity-based model qualitatively agree with the experimental results. From experiments, 6 at.%% Al, Ti, and Mo strengthen the base alloy, MnFeCoNi, by increasing the yield stress (and energy barrier) of the base alloy from 138 MPa (1.75 eV) to 163 MPa (1.77 eV), 164 MPa (1.93 eV), and 199 MPa (1.80 eV), respectively."
"MnFeCoNi + 6 at.% Ti",164,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The solid solution strengthening effects of the alloying elements have been evaluated that predictions from a recently developed elasticity-based model qualitatively agree with the experimental results. From experiments, 6 at.%% Al, Ti, and Mo strengthen the base alloy, MnFeCoNi, by increasing the yield stress (and energy barrier) of the base alloy from 138 MPa (1.75 eV) to 163 MPa (1.77 eV), 164 MPa (1.93 eV), and 199 MPa (1.80 eV), respectively."
"MnFeCoNi + 6 at.% Al",163,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The solid solution strengthening effects of the alloying elements have been evaluated that predictions from a recently developed elasticity-based model qualitatively agree with the experimental results. From experiments, 6 at.%% Al, Ti, and Mo strengthen the base alloy, MnFeCoNi, by increasing the yield stress (and energy barrier) of the base alloy from 138 MPa (1.75 eV) to 163 MPa (1.77 eV), 164 MPa (1.93 eV), and 199 MPa (1.80 eV), respectively."
"MnFeCoNi + 6 at.% Al",163,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The solid solution strengthening effects of the alloying elements have been evaluated that predictions from a recently developed elasticity-based model qualitatively agree with the experimental results. From experiments, 6 at.%% Al, Ti, and Mo strengthen the base alloy, MnFeCoNi, by increasing the yield stress (and energy barrier) of the base alloy from 138 MPa (1.75 eV) to 163 MPa (1.77 eV), 164 MPa (1.93 eV), and 199 MPa (1.80 eV), respectively."
"MnFeCoNi",138,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The solid solution strengthening effects of the alloying elements have been evaluated that predictions from a recently developed elasticity-based model qualitatively agree with the experimental results. From experiments, 6 at.%% Al, Ti, and Mo strengthen the base alloy, MnFeCoNi, by increasing the yield stress (and energy barrier) of the base alloy from 138 MPa (1.75 eV) to 163 MPa (1.77 eV), 164 MPa (1.93 eV), and 199 MPa (1.80 eV), respectively."
"MnFeCoNi",138,"Structure and tensile properties of Mx(MnFeCoNi)100-x solid solution strengthened high entropy alloys. The solid solution strengthening effects of the alloying elements have been evaluated that predictions from a recently developed elasticity-based model qualitatively agree with the experimental results. From experiments, 6 at.%% Al, Ti, and Mo strengthen the base alloy, MnFeCoNi, by increasing the yield stress (and energy barrier) of the base alloy from 138 MPa (1.75 eV) to 163 MPa (1.77 eV), 164 MPa (1.93 eV), and 199 MPa (1.80 eV), respectively."
"MoNbRe0.5TaW(TiC)1.0 alloy",1496,"Design and characterization of eutectic refractory high entropy alloys. Recently, Wei et al. [32] explored the possibility of eutectic composites obtaining in a MoNbRe0.5TaW(TiC)x RHEA system. It was found that a MoNbRe0.5TaW(TiC)1.0 alloy with a eutectic structure consisted of a bcc solid solution and an fcc multicomponent carbide had high compressive yield strength (1496 ± 17 MPa) and peak strength (1943 ± 13 MPa) with reasonable plasticity at ambient temperature."
"Al28Cr20Nb15Ti27Zr10",810,"Design and characterization of eutectic refractory high entropy alloys. Therefore, the microstructure evolution of the eutectic Al28Cr20Nb15Ti27Zr10 alloy during deformation at 800˚С was studied in detail. During compression, the alloy yielded at 810 MPa and then rapidly strengthened to the peak value of 1150 MPa, followed by a pronounced softening stage and an extended steady flow ( Figs. 6 d, 7 a)."
"Nb30Ti40Zr30",675,"Design and characterization of eutectic refractory high entropy alloys. Mechanical properties obtained during compression were summarized in Table 2 . At 22 °C, the Nb30Ti40Zr30 alloy exhibited a combination of modest yield strength (675 MPa), excellent compressive ductility (>50%), and pronounced strain hardening capacity ( Fig. 6 a; Table 2 )."
"Nb30Ti40Zr30",605,"Design and characterization of eutectic refractory high entropy alloys. To get additional insights into the deformation behavior of the alloy, tensile testing at room temperature was performed ( Fig. 9 a). The Nb30Ti40Zr30 alloy had a yield strength of 605 MPa and decent ductility (elongation to fracture – 20.9%) despite the lack of deformation hardening."
"Alloy (22 °C)",315,"Design and characterization of eutectic refractory high entropy alloys. Moreover, the alloy retained a reasonable strength at 700 °C before softening at T ≥ 800 °C. Considering its density (5.55 g/cm^(3); Fig. S2a), the specific yield strength of the alloy varied from exceptionally high values of 315 and 232 kPa m^(3) kg^(-1) at 22 and 600 °C, respectively, to 112 kPa m^(3) kg^(-1) at 700 °C."
"Alloy (600 °C)",232,"Design and characterization of eutectic refractory high entropy alloys. Moreover, the alloy retained a reasonable strength at 700 °C before softening at T ≥ 800 °C. Considering its density (5.55 g/cm^(3); Fig. S2a), the specific yield strength of the alloy varied from exceptionally high values of 315 and 232 kPa m^(3) kg^(-1) at 22 and 600 °C, respectively, to 112 kPa m^(3) kg^(-1) at 700 °C."
"Alloy (700 °C)",112,"Design and characterization of eutectic refractory high entropy alloys. Moreover, the alloy retained a reasonable strength at 700 °C before softening at T ≥ 800 °C. Considering its density (5.55 g/cm^(3); Fig. S2a), the specific yield strength of the alloy varied from exceptionally high values of 315 and 232 kPa m^(3) kg^(-1) at 22 and 600 °C, respectively, to 112 kPa m^(3) kg^(-1) at 700 °C."
"eutectic refractory high entropy alloys",17,"Design and characterization of eutectic refractory high entropy alloys. This observation means that the alloys' strength reduction observed between 22 and 600 °C can be attributed to the softening of the bcc/B2 phase ( Fig. 9 b, for example). At 700 °C, the Laves phase particles' hardening effect became less pronounced: the yield strength increment was only 17 MPa/vol.%%."
"A9Z2",780,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. Through the heat treatment, the stress is relieved for both alloys, relaxing the matrix and homogenizing the precipitates distribution, but the precipitation of NiAl B2 compensates the drop in hardness for A9Z2. The compressive yield strength at RT of 630 MPa for A4Z3 and 780 MPa for A9Z2 is outperforming other Al containing precipitation hardened austenitic HEAs, ranging from 400 to 600 MPa [62,63]."
"A9Z2",780,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. This is due to the phase softening as visible from the relaxation in the lattice strain evolution during compression. The achieved compressive RT yield strengths were 630 MPa and 780 MPa for A4Z3 and A9Z2, respectively."
"A9Z2",780,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. This is due to the phase softening as visible from the relaxation in the lattice strain evolution during compression. - The achieved compressive RT yield strengths were 630 MPa and 780 MPa for A4Z3 and A9Z2, respectively."
"A4Z3",630,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. Through the heat treatment, the stress is relieved for both alloys, relaxing the matrix and homogenizing the precipitates distribution, but the precipitation of NiAl B2 compensates the drop in hardness for A9Z2. The compressive yield strength at RT of 630 MPa for A4Z3 and 780 MPa for A9Z2 is outperforming other Al containing precipitation hardened austenitic HEAs, ranging from 400 to 600 MPa [62,63]."
"A4Z3",630,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. This is due to the phase softening as visible from the relaxation in the lattice strain evolution during compression. - The achieved compressive RT yield strengths were 630 MPa and 780 MPa for A4Z3 and A9Z2, respectively."
"A4Z3",630,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. This is due to the phase softening as visible from the relaxation in the lattice strain evolution during compression. The achieved compressive RT yield strengths were 630 MPa and 780 MPa for A4Z3 and A9Z2, respectively."
"A9Z2",260,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. Consistently, the alloys investigated in this study showed a gentle reduction in yield strength with rising temperature. At 800 °C A4Z3 and A9Z2 presented compressive yields of 230 MPa and 260 MPa respectively."
"A4Z3",230,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. Consistently, the alloys investigated in this study showed a gentle reduction in yield strength with rising temperature. At 800 °C A4Z3 and A9Z2 presented compressive yields of 230 MPa and 260 MPa respectively."
"Al-Co-Cr-Fe-Ni system",40,"Advanced characterization of two novel Fe-rich high entropy alloys developed for laser powder bed fusion in the Al-Co-Cr-Fe-Ni-Zr system. Also, for conventional manufactured HEAs, the achieved strength through precipitation hardening is dependent on the size fraction and distribution of the precipitates. According to the work of Ma et al. [62], HEAs from the Al-Co-Cr-Fe-Ni system composed of an FCC matrix and ∼15% volume fraction of NiAl B2 precipitates would present differences from compressive to tensile yield strength of around 40 MPa."
"Dual-phase HEAs",5910,"Atomic-scale insight into mechanical properties and deformation behavior of crystalline/amorphous dual-phase high entropy alloys. Here, the average stress value of all models at strains between 0.043 and 0.160 is calculated as the average flow stress. In addition, it can be seen from Fig. 2 that the maximum values of yield stress and average flow stress of the dual-phase HEAs reach 5.91 GPa and 6.41GPa respectively, which is much higher than the results measured in the experiment [50,51]."
"HLS 316 stainless steel",1000,"Heterostructured materials. The heterostructure effect is also found significant in face-centered cubic (fcc) metals, such as stainless steel [208], copper [251], Nickel [250], Mg alloy [252], medium/high entropy alloys [253–259]. For example, an HLS 316 stainless steel has been found to possess a very high yield strength of 1 GPa while retaining a good ductility of 9 % [208], as shown in Fig. 31 ."
"HEAs (high Mo content)",1973,"Recent Advances in Tribology of High Entropy Alloys: A Critical Review. Mo addition produced substantial lattice distortion and promoted the production of intermetallic phases in the HEAs. With an increase in Mo content, compressive yield strength and the hardness of HEAs increased from 518 MPa and 244 HV to 1973 MPa and 654 HV, respectively; however, the plasticity diminished due to the hard and brittle nature of the intermetallic compounds."
"non-equiatomic HEA",1800,"Recent Advances in Tribology of High Entropy Alloys: A Critical Review. In contrast to the prevalent PH-HEA design concept, they investigated a non-equiatomic HEAas a prototype sample and then used spinodal breakdown to produce a coherent nanostructure with low-misfit. This increased the capacity to attain higher nanoprecipitate concentrations and helped generate a near-equiatomic, high entropy FCC matrix that enabled ultrahigh yield strength (1800 MPa)while maintaining adequateductility (10 %)."
"HEAs (low Mo content)",518,"Recent Advances in Tribology of High Entropy Alloys: A Critical Review. Mo addition produced substantial lattice distortion and promoted the production of intermetallic phases in the HEAs. With an increase in Mo content, compressive yield strength and the hardness of HEAs increased from 518 MPa and 244 HV to 1973 MPa and 654 HV, respectively; however, the plasticity diminished due to the hard and brittle nature of the intermetallic compounds."
"HEA at RT",261,"Recent Advances in Tribology of High Entropy Alloys: A Critical Review. This novel HEAexhibitedphase stability following a 24 h heat treatment at 1200 °C, and the compressive yield strength of the annealed HEA wasabout equivalent to that of the as-cast state. This HEAhad remarkable compressive strength at RTand at 600 °C, with specific yield strengths of 261 and 210 MPa.g>^(-1)."
"HEA at 600 °C",210,"Recent Advances in Tribology of High Entropy Alloys: A Critical Review. This novel HEAexhibitedphase stability following a 24 h heat treatment at 1200 °C, and the compressive yield strength of the annealed HEA wasabout equivalent to that of the as-cast state. This HEAhad remarkable compressive strength at RTand at 600 °C, with specific yield strengths of 261 and 210 MPa.g>^(-1)."
"HEA",145.5,"Recent Advances in Tribology of High Entropy Alloys: A Critical Review. Being one of thelightweight metals, Al has not significantly enhanced the developed HEA's weight. The developed HEA had an exceptional yield strength and ductility of145.5 MPa.g>^(-1)."
"(NiAl)1.3(FeCr)Co1.15 HEA",1700,"Recent Advances in Tribology of High Entropy Alloys: A Critical Review. Simultaneously, when it proportion decreased, the FCC phase of grain boundary transformed from continuous to discontinuous. The A2/B2 island-like heterostructure of (NiAl)1.3(FeCr)Co1.15 HEA resulted in excellent compressive yield strength (1.7 GPa) and plasticity (23.4%)."
"AlCoCrFeNi2.1 DPHL HEAs",1500,"Recent Advances in Tribology of High Entropy Alloys: A Critical Review. By selecting the appropriate processing route for refractory and other HEAs [97,109-116],a ductile response with high strength is also very much achievable. Yield strength (1.5GPa)and 16 % elongation have been achieved in AlCoCrFeNi2.1 DPHL HEAsfor the first time."
"TiNbHfTaZr HEA",1080,"Compositional complexity dependence of dislocation density and mechanical properties in high entropy alloy systems. The model of solid solution hardening, which considers the elastic interactions between the local stress field of solute atoms and those of dislocations, is applied to an estimation of the hardness and yield strength in refractory high entropy alloys [37]. The estimated values for the TiNbHfTaZr HEA are 331 HV of hardness and 1080 MPa of yield strength [37]."
"fcc-CrMnFeCoNi",200,"Stability of ordered L12 and B2 precipitates in face centered cubic based high entropy alloys - Al0.3CoFeCrNi and Al0.3CuFeCrNi2. For example, Otto et al. [7] attempted to enhance the strength of fcc-CrMnFeCoNi via grain refinement. It was found that the room-temperature yield strength increased from 200MPa to 350MPa when the grain size was reduced from 144.0 to 4.4μm."
"PdPtRhIrCuNi",527,"Noble metal high entropy alloys. To evaluate the mechanical property of the PdPtRhIrCuNi, we performed compression tests. As shown in Fig. 4(a), the yield strength, σy, of PdPtRhIrCuNi is 527MPa, while the maximum strength, σm, is 1839MPa."
"(Pd-Pt-Rh-Ir)81(Cu-Ni)19",587,"Predicting yield strengths of noble metal high entropy alloys. These two compositions can be viewed as pseudo-binaries(Pd-Pt-Rh-Ir)81(Cu-Ni)19 (larger μ ¯ = 134 GPa, smaller δ =3.2%) and (Pd-Pt-Rh-Ir)61(Cu-Ni)39 (smaller μ ¯ = 80.5 GPa, larger δ =4.2%), respectively. Since strength is a combination of μ ¯ and δ, the predicted yield stresses are then fairly similar (587MPa and 521MPa) and closely bracket that of the predicted hypothetical single-phase alloy (561MPa)."
"Hypothetical single-phase alloy",561,"Predicting yield strengths of noble metal high entropy alloys. These two compositions can be viewed as pseudo-binaries(Pd-Pt-Rh-Ir)81(Cu-Ni)19 (larger μ ¯ = 134 GPa, smaller δ =3.2%) and (Pd-Pt-Rh-Ir)61(Cu-Ni)39 (smaller μ ¯ = 80.5 GPa, larger δ =4.2%), respectively. Since strength is a combination of μ ¯ and δ, the predicted yield stresses are then fairly similar (587MPa and 521MPa) and closely bracket that of the predicted hypothetical single-phase alloy (561MPa)."
"(Pd-Pt-Rh-Ir)61(Cu-Ni)39",521,"Predicting yield strengths of noble metal high entropy alloys. These two compositions can be viewed as pseudo-binaries(Pd-Pt-Rh-Ir)81(Cu-Ni)19 (larger μ ¯ = 134 GPa, smaller δ =3.2%) and (Pd-Pt-Rh-Ir)61(Cu-Ni)39 (smaller μ ¯ = 80.5 GPa, larger δ =4.2%), respectively. Since strength is a combination of μ ¯ and δ, the predicted yield stresses are then fairly similar (587MPa and 521MPa) and closely bracket that of the predicted hypothetical single-phase alloy (561MPa)."
"Al0.3CoCrFeMnNi",979,"Strengthening of Al0.3CoCrFeMnNi-based ODS high entropy alloys with incremental changes in the concentration of Y2O3. AlxCoCrFeMnNi(100-x) (x = 0–20 at.%%) reveals increasing hardness from 174 HV to 538 HV with an increase in Al due to the formation of a harder BCC phase [19]. By utilizing the advantageous effects of powder metallurgy and the addition of Al on the properties of CoCrFeMnNi, Pohan et al. fabricated Al0.3CoCrFeMnNi by mechanical alloying and spark plasma sintering (SPS) and observed a B2-ordered phase in a fine-grained FCC structure, recording a yield strength of 979 MPa [20]."
"8 vol% nano-Al2O3-reinforced Al0.4FeCrCo1.5NiTi0.3",2050,"Strengthening of Al0.3CoCrFeMnNi-based ODS high entropy alloys with incremental changes in the concentration of Y2O3. The grain size reduced from 0.8 μm to 0.4 μm and room-temperature yield strength increased from ~1000 MPa to ~1200 MPa [25] in the ODS HEA. In another study, 8 vol% nano-Al2O3-reinforced Al0.4FeCrCo1.5NiTi0.3 exhibited excellent mechanical properties, i.e., hardness of 654 Hv, a fracture strength of 2.14 GPa and a yield strength of 2.05 GPa [26]."
"ODS HEA (3 vol% Y2O3)",1.76,"Strengthening of Al0.3CoCrFeMnNi-based ODS high entropy alloys with incremental changes in the concentration of Y2O3. The addition of 0.5 vol% Y2O3 results in the Y2O3-reinforced Al0.3CoCrFeMnNi-based composite (ODS HEA), which exhibited an increased yield strength of 1.15 GPa. Increasing the concentration of Y2O3 leads to further enhancement of the yield strength, as ODS HEA samples with 1 vol%, 1.5 vol%, 2 vol% and 3 vol% Y2O3 exhibited a progressive increase in the yield strength to 1.60 GPa, 1.65 GPa, 1.66 GPa and 1.76 MPa, respectively (Fig. 1b)."
